0,1,2,3,4,5,6,7,8,9
90,9,40,2,0,2,4,0,0,5
82,9,18,1,0,2,7,0,0,5
66,10,40,2,15,2,4,3,0,5
54,4,40,1,1,4,13,0,0,5
41,10,40,1,15,6,14,0,0,5
34,9,45,1,0,4,8,0,0,5
38,6,40,1,11,6,9,0,1,5
74,16,20,4,12,5,14,0,0,5
68,9,40,6,0,4,14,0,0,5
41,10,60,1,15,5,5,0,1,35
45,16,35,1,12,4,14,3,0,5
38,15,45,8,4,5,14,0,1,5
52,13,20,1,5,2,8,0,0,5
32,14,55,1,2,6,7,0,1,5
51,16,40,2,12,5,4,0,1,5
46,15,40,1,4,4,14,0,1,5
45,7,76,1,3,4,2,0,1,5
57,14,50,1,2,4,7,0,1,5
22,12,40,1,8,5,3,3,1,35
34,13,50,1,5,6,11,0,1,5
37,13,40,1,5,5,7,0,1,5
29,7,42,1,3,6,11,0,0,5
61,9,25,1,0,4,11,0,0,5
51,10,40,1,15,0,2,0,1,5
61,9,32,2,0,0,4,0,1,5
21,11,40,1,6,0,5,0,1,5
33,2,32,1,14,0,5,0,1,23
49,3,40,1,10,0,8,0,1,29
37,6,50,5,11,5,2,0,1,5
38,6,90,1,11,5,14,0,1,5
23,10,40,1,15,6,8,0,1,5
59,6,50,5,11,2,7,0,0,5
52,15,60,1,4,4,7,0,1,5
51,13,50,1,5,4,7,0,1,5
60,9,50,8,0,5,7,3,1,5
63,16,60,6,12,4,7,0,0,5
53,9,48,1,0,5,11,0,1,5
51,15,50,1,4,5,14,0,0,5
37,16,60,8,12,5,14,0,0,5
54,14,40,1,2,4,14,0,0,5
44,13,50,1,5,4,7,0,1,5
43,14,40,1,2,4,7,0,0,5
51,10,40,1,15,4,9,0,0,5
43,14,40,1,2,4,14,0,0,5
71,9,15,2,0,0,4,0,1,5
48,13,70,1,5,3,11,0,0,5
71,9,52,1,0,0,11,0,1,5
73,9,40,8,0,0,12,4,1,10
68,10,40,2,15,0,4,0,0,5
67,10,40,2,15,0,4,0,1,5
40,15,45,8,4,5,14,0,1,5
50,9,72,1,0,2,11,0,0,5
51,11,39,4,6,4,10,0,1,5
42,10,40,1,15,5,7,0,0,5
39,14,45,1,2,5,11,0,1,5
32,13,50,1,5,5,7,0,1,5
53,10,45,1,15,6,5,0,1,5
40,10,40,7,15,5,1,0,1,5
38,13,45,1,5,5,11,0,0,5
33,11,42,1,6,6,5,0,1,5
43,12,70,1,8,4,5,0,1,5
50,7,40,5,3,5,7,0,1,5
44,10,6,1,15,0,9,0,0,5
51,13,40,8,5,0,11,4,1,38
41,15,40,1,4,0,14,0,1,5
60,11,70,5,6,0,13,0,1,35
37,14,60,1,2,0,7,0,1,5
55,15,35,5,4,0,14,0,1,29
39,13,60,5,5,0,11,0,1,5
42,15,60,5,4,0,14,0,1,5
49,13,55,1,5,0,11,0,1,5
47,9,50,8,0,0,7,0,1,5
41,15,45,7,4,0,14,0,1,5
55,13,50,5,5,0,7,0,1,5
39,14,65,1,2,0,7,0,0,5
42,13,60,1,5,0,7,0,1,5
41,11,12,2,6,0,4,0,1,5
46,14,65,1,2,0,11,0,1,5
40,14,45,1,2,0,7,0,1,5
32,13,48,1,5,0,14,0,1,5
41,10,55,5,15,0,7,0,1,5
60,15,80,5,4,0,14,0,1,5
31,14,70,1,2,0,7,0,1,13
58,10,40,8,15,0,12,0,1,5
37,13,50,5,5,0,11,0,1,5
44,13,50,8,5,0,7,0,1,5
39,15,50,8,4,0,14,0,1,35
43,15,55,6,4,0,14,4,1,35
55,13,50,5,5,0,7,0,1,5
44,14,55,5,2,0,14,0,1,5
39,15,67,1,4,0,14,4,1,34
46,13,40,8,5,0,11,0,1,5
39,10,99,1,15,0,12,0,1,5
62,13,60,5,5,0,12,0,1,5
31,9,40,8,0,0,8,0,0,5
46,13,35,1,5,0,9,4,1,41
46,15,80,8,4,0,14,0,1,5
39,11,40,5,6,0,5,0,1,5
39,15,99,1,4,0,11,0,1,5
59,16,45,1,12,0,14,0,1,5
50,15,60,5,4,0,14,0,1,5
46,16,55,1,12,0,14,0,1,5
53,13,40,8,5,0,7,0,1,5
50,15,30,8,4,0,14,0,1,5
41,15,55,5,4,0,7,0,0,5
36,13,45,1,5,0,11,0,1,5
38,15,90,1,4,0,14,0,1,5
54,10,50,1,15,0,11,0,1,5
50,13,20,1,5,0,7,0,0,5
47,13,60,1,5,0,7,0,1,5
47,15,45,5,4,0,14,0,1,5
67,13,40,1,5,2,7,0,1,5
67,13,75,5,5,0,7,0,1,5
72,16,25,8,12,0,14,0,1,5
72,16,6,2,12,0,4,0,1,5
46,14,50,5,2,0,7,0,1,5
78,13,40,5,5,0,7,0,1,5
71,13,60,5,5,0,7,0,1,5
83,13,55,5,5,0,7,0,1,5
68,14,40,1,2,0,7,0,1,5
26,11,45,1,6,0,9,0,1,5
68,16,60,4,12,0,14,0,1,5
49,9,40,5,0,0,9,0,0,5
36,9,60,1,0,0,14,0,1,5
70,13,12,8,5,0,5,0,1,5
27,10,20,1,15,0,9,3,0,5
35,10,40,7,15,0,7,0,1,5
23,9,40,1,0,0,11,0,1,5
81,9,26,1,0,0,7,0,1,5
66,16,25,8,12,0,11,0,1,5
71,9,45,1,0,0,7,0,1,5
68,10,55,1,15,0,11,0,1,5
68,14,42,4,2,0,14,0,1,35
65,13,40,2,5,0,4,0,1,5
52,9,40,1,0,0,11,3,1,5
40,12,50,5,8,0,5,0,1,5
68,13,35,2,5,0,4,0,1,5
21,10,48,1,15,0,7,0,1,5
35,9,40,1,0,0,5,0,1,5
70,13,50,5,5,0,7,0,1,5
61,9,50,8,0,0,12,0,1,5
65,9,65,5,0,0,12,0,1,5
46,3,45,1,10,4,5,0,0,5
26,13,55,7,5,5,14,0,1,5
59,9,40,7,0,2,12,0,1,5
61,3,40,1,10,5,3,3,1,5
60,13,40,4,5,4,14,0,0,5
49,10,50,5,15,4,7,0,1,5
34,13,40,1,5,3,13,4,1,35
25,13,35,1,5,5,14,0,0,5
55,10,45,1,15,5,9,3,0,35
59,9,40,7,0,6,1,3,0,5
28,10,40,4,15,6,7,0,1,5
43,11,36,2,6,2,4,0,0,5
56,14,60,8,2,4,11,0,0,5
